code,name,market,industry,status,is_st,tradable,updated_at,source
bj920553,凯腾精工,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920556,雅达股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920564,天润科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920566,梓橦宫,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920570,坤博精工,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920571,国航远洋,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920575,*ST康乐,bj,,active,True,True,2026-08-07T01:14:17+08:00,akshare
bj920576,天力复合,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920578,巨能股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920579,机科股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920580,科创新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920592,华信永道,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920593,鼎智科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920599,同力股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920608,丰安股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920627,力王股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920634,新威凌,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920639,晨光电缆,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920640,富士达,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920641,格利尔,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920642,通易航天,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920651,天罡股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920656,海昇药业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920662,方盛股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920663,明阳科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920665,科强股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920670,数字人,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920675,秉扬科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920679,前进科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920682,球冠电缆,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920685,新芝生物,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920689,克莱特,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920690,捷众科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920693,阿为特,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920694,中裕科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920699,海达尔,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920701,豪声电子,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920703,广厦环能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920706,铁拓机械,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920717,瑞星股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920718,合肥高科,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920719,宁新新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920720,吉冈精密,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920725,惠丰钻石,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920726,朱老六,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920729,永顺生物,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920735,德源药业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920748,路桥信息,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920751,惠同新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920753,天纺标,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920765,美之高,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920768,拾比佰,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920770,艾能聚,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920779,武汉蓝电,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920781,瑞奇智造,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920786,骑士乳业,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920790,联迪信息,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920792,东和新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920799,艾融软件,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920802,保丽洁,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920806,云星宇,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920807,奔朗新材,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920808,曙光数创,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920809,安达科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920810,春光智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920819,颖泰生物,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920821,则成电子,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920826,盖世食品,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920832,齐鲁华信,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920833,美心翼申,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920834,三维装备,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920837,华原股份,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920839,万通液压,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920855,浙江大农,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920856,浩淼科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920857,泓禧科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920866,绿亨科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920870,恒进感应,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920871,派特尔,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920873,中设咨询,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920876,慧为智能,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920879,基康技术,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
bj920885,星辰科技,bj,,active,False,True,2026-08-07T01:14:17+08:00,akshare
